status,ticker,price,timestamp,position_type
close,NFLX,441.29,2023-07-03 12:55:00-04:00,short
open,SNOW,174.74,2023-07-05 09:39:00-04:00,short
close,SNOW,173.0614,2023-07-05 15:55:00-04:00,short
open,CRM,210.19,2023-07-06 09:39:00-04:00,short
close,CRM,210.08,2023-07-06 15:55:00-04:00,short
open,NFLX,442.155,2023-07-10 09:39:00-04:00,long
close,NFLX,438.68,2023-07-10 10:05:00-04:00,long
open,NFLX,443.2016,2023-07-12 10:22:00-04:00,short
close,NFLX,443.76,2023-07-12 15:55:00-04:00,short
open,META,314.6,2023-07-13 09:37:00-04:00,long
close,META,312.24,2023-07-13 10:15:00-04:00,long
open,COIN,111.45,2023-07-14 09:36:00-04:00,long
close,COIN,108.71,2023-07-14 10:05:00-04:00,long
open,NFLX,447.855,2023-07-17 14:35:00-04:00,long
close,NFLX,449.71,2023-07-17 15:55:00-04:00,long
open,TSLA,290.4188,2023-07-17 09:39:00-04:00,long
close,TSLA,287.8475,2023-07-17 10:10:00-04:00,long
open,COIN,104.8906,2023-07-18 09:39:00-04:00,long
close,COIN,103.7599,2023-07-18 13:00:00-04:00,long
open,MSFT,359.735,2023-07-19 09:36:00-04:00,short
close,MSFT,355.6,2023-07-19 15:55:00-04:00,short
open,MSFT,354.808,2023-07-20 10:04:00-04:00,long
close,MSFT,351.0754,2023-07-20 10:20:00-04:00,long
open,TSLA,265.9501,2023-07-21 13:29:00-04:00,short
close,TSLA,260.0,2023-07-21 15:55:00-04:00,short
open,SNOW,179.68,2023-07-21 09:36:00-04:00,long
close,SNOW,177.6416,2023-07-21 10:20:00-04:00,long
open,UPST,56.8,2023-07-21 09:36:00-04:00,long
close,UPST,56.27,2023-07-21 09:40:00-04:00,long
open,GE,93.7989,2023-07-25 09:37:00-04:00,long
close,GE,92.6576,2023-07-25 09:45:00-04:00,long
open,TSLA,271.355,2023-07-25 09:38:00-04:00,short
close,TSLA,265.94,2023-07-25 15:55:00-04:00,short
open,BA,212.455,2023-07-25 10:22:00-04:00,short
close,BA,214.08,2023-07-25 12:30:00-04:00,short
open,BA,224.145,2023-07-26 10:41:00-04:00,long
close,BA,232.475,2023-07-26 15:55:00-04:00,long
open,META,298.75,2023-07-26 09:45:00-04:00,short
close,META,301.0965,2023-07-26 14:40:00-04:00,short
open,META,323.89,2023-07-27 09:41:00-04:00,short
close,META,310.5,2023-07-27 15:55:00-04:00,short
open,AMAT,145.785,2023-07-27 14:53:00-04:00,long
close,AMAT,145.89,2023-07-27 15:55:00-04:00,long
open,LRCX,69.454,2023-07-27 10:31:00-04:00,long
close,LRCX,70.097,2023-07-27 15:55:00-04:00,long
open,TTD,88.95,2023-07-27 09:40:00-04:00,long
close,TTD,87.9,2023-07-27 09:50:00-04:00,long
open,NFLX,423.95,2023-07-27 09:37:00-04:00,short
close,NFLX,412.97,2023-07-27 15:55:00-04:00,short
open,NFLX,429.6001,2023-07-31 09:36:00-04:00,long
close,NFLX,438.2,2023-07-31 15:55:00-04:00,long
open,ZI,19.2567,2023-08-01 11:07:00-04:00,short
close,ZI,18.765,2023-08-01 15:55:00-04:00,short
open,COIN,92.61,2023-08-01 09:36:00-04:00,short
close,COIN,93.47,2023-08-01 13:00:00-04:00,short
open,ABNB,148.97,2023-08-01 09:36:00-04:00,short
close,ABNB,150.24,2023-08-01 10:05:00-04:00,short
open,TSLA,264.7201,2023-08-01 09:41:00-04:00,short
close,TSLA,261.09,2023-08-01 15:55:00-04:00,short
open,ABNB,145.595,2023-08-02 09:36:00-04:00,short
close,ABNB,146.99,2023-08-02 10:00:00-04:00,short
open,PDD,87.965,2023-08-03 10:26:00-04:00,long
