ticker,position_type,entry_time,exit_time,entry_price,exit_price,capital_allocated,shares_traded,profit/loss,% of profit/loss,updated_capital
MSTR,short,2024-05-31 09:36:00-04:00,2024-05-31 09:35:00-04:00,156.6,159.598,30909.228184081625,197.37693604138968,-593.1176928043797,-1.9189016602809823,185756.32655671678
VRT,short,2024-05-31 09:39:00-04:00,2024-05-31 09:40:00-04:00,98.4557,99.695,30909.228184081625,313.940464433056,-391.2640008229177,-1.2658484983601765,185365.06255589388
COIN,short,2024-05-31 09:36:00-04:00,2024-05-31 09:40:00-04:00,236.79,239.1701,30909.228184081625,130.53434766705362,-311.59854131602356,-1.0081084505257818,185053.46401457785
SNOW,long,2024-05-31 10:13:00-04:00,2024-05-31 10:20:00-04:00,140.315,139.06,30909.228184081625,220.28456105250064,-277.9991160482548,-0.8994049103802128,184775.4648985296
MSFT,short,2024-06-03 09:42:00-04:00,2024-06-03 15:55:00-04:00,415.62,412.92,23096.9331123162,55.57223692872384,149.65603404905266,0.6479476444829384,184925.12093257866
MRNA,long,2024-06-03 09:36:00-04:00,2024-06-03 15:55:00-04:00,143.07,147.52,23096.9331123162,161.43798918233173,717.2689859371027,3.1054728454602762,185642.38991851578
ARM,long,2024-06-03 09:39:00-04:00,2024-06-03 10:40:00-04:00,127.205,125.3575,23096.9331123162,181.57252554786527,-336.7262486285155,-1.4578829448527941,185305.66366988726
QCOM,short,2024-06-03 09:37:00-04:00,2024-06-03 09:35:00-04:00,208.88,210.83,23096.9331123162,110.57512979852643,-216.39552901571813,-0.9369015702795946,185089.26814087154
MU,short,2024-06-03 09:37:00-04:00,2024-06-03 09:45:00-04:00,126.7318,127.75,23096.9331123162,182.2504936591779,-186.8432060993879,-0.8089524491879647,184902.42493477216
FSLR,long,2024-06-03 09:36:00-04:00,2024-06-03 15:55:00-04:00,274.48,272.64,23096.9331123162,84.14796383093923,-155.42128919574742,-0.6729087729525035,184747.00364557642
CELH,short,2024-06-03 09:37:00-04:00,2024-06-03 09:45:00-04:00,75.16,76.03,23096.9331123162,307.3035273059633,-269.5051934473312,-1.1668440659925552,184477.49845212908
AMD,short,2024-06-03 09:41:00-04:00,2024-06-03 15:55:00-04:00,169.84,163.34,23096.9331123162,135.9923051832089,882.9980375545755,3.8230098916627417,185360.49648968366
SNOW,short,2024-06-05 13:34:00-04:00,2024-06-05 15:55:00-04:00,133.7999,134.4,92680.24824484183,692.6780083157149,-420.5248188484689,-0.4537372598933165,184939.9716708352
TSLA,short,2024-06-05 09:52:00-04:00,2024-06-05 11:25:00-04:00,173.605,175.0901,92680.24824484183,533.8570216574514,-796.5680620150922,-0.8594798536908598,184143.4036088201
MRNA,short,2024-06-06 09:36:00-04:00,2024-06-06 09:35:00-04:00,153.61,155.7,46035.85090220503,299.693059710989,-628.4563462139365,-1.3651454983399356,183514.94726260618
META,long,2024-06-06 15:34:00-04:00,2024-06-06 15:55:00-04:00,492.545,493.155,46035.85090220503,93.46526896467333,56.35955718569398,0.12242536214964253,183571.30681979188
NVAX,short,2024-06-06 09:40:00-04:00,2024-06-06 09:40:00-04:00,21.8399,22.1,46035.85090220503,2107.8782825106814,-563.0142892586058,-1.222990947760756,183008.29253053328
FSLR,short,2024-06-06 09:36:00-04:00,2024-06-06 09:45:00-04:00,270.2629,274.0,46035.85090220503,170.33729343615062,-637.7598603542913,-1.3853547786248126,182370.53267017897
TSLA,long,2024-06-07 09:38:00-04:00,2024-06-07 13:55:00-04:00,178.52,177.1491,91185.26633508949,510.78459744056397,-703.8100968133562,-0.7718462917320221,181666.7225733656
